Entity,Code,Year,Pri_adj_Enroll_% â€“ Lee-Lee (2016) (%)
Afghanistan,AFG,1870,0
Cambodia,KHM,1870,0
Democratic Republic of Congo,COD,1870,0
Haiti,HTI,1870,0
Kuwait,KWT,1870,0
Mali,MLI,1870,0
Nepal,NPL,1870,0
Niger,NER,1870,0
South Korea,KOR,1870,0
Swaziland,SWZ,1870,0
Taiwan,TWN,1870,0
Uganda,UGA,1870,0
Yemen,YEM,1870,0
Zambia,ZMB,1870,0
Zimbabwe,ZWE,1870,0
Benin,BEN,1870,0.1
China,CHN,1870,0.1
Iran,IRN,1870,0.1
Libya,LBY,1870,0.1
Malawi,MWI,1870,0.1
Morocco,MAR,1870,0.1
Cote d'Ivoire,CIV,1870,0.2
Fiji,FJI,1870,0.2
Iraq,IRQ,1870,0.2
Mozambique,MOZ,1870,0.2
Pakistan,PAK,1870,0.2
Senegal,SEN,1870,0.2
Sudan,SDN,1870,0.2
Tunisia,TUN,1870,0.2
Indonesia,IDN,1870,0.3
Kenya,KEN,1870,0.3
Thailand,THA,1870,0.3
Cameroon,CMR,1870,0.4
Jordan,JOR,1870,0.4
Togo,TGO,1870,0.5
Bangladesh,BGD,1870,0.6
Ghana,GHA,1870,0.6
Syria,SYR,1870,0.6
Turkey,TUR,1870,0.6
Sierra Leone,SLE,1870,0.8
Egypt,EGY,1870,1.1
Malaysia,MYS,1870,1.1
Venezuela,VEN,1870,1.2
India,IND,1870,1.5
Albania,ALB,1870,1.8
Liberia,LBR,1870,2.1
Luxembourg,LUX,1870,2.3
Peru,PER,1870,2.3
Hong Kong,HKG,1870,2.6
Lesotho,LSO,1870,2.7
Bolivia,BOL,1870,3.3
Gambia,GMB,1870,3.4
Serbia,SRB,1870,3.4
Philippines,PHL,1870,3.6
Paraguay,PRY,1870,4.2
Panama,PAN,1870,5.3
Dominican Republic,DOM,1870,5.9
Algeria,DZA,1870,6.1
Myanmar,MMR,1870,7.4
Sri Lanka,LKA,1870,7.4
Romania,ROU,1870,7.7
Brazil,BRA,1870,8.2
Cuba,CUB,1870,8.3
Finland,FIN,1870,8.7
Nicaragua,NIC,1870,9.5
Russia,RUS,1870,9.8
Guatemala,GTM,1870,11
Ecuador,ECU,1870,11.9
El Salvador,SLV,1870,12.2
Mauritius,MUS,1870,12.2
Honduras,HND,1870,13.1
Reunion,REU,1870,16.2
Chile,CHL,1870,16.9
Cyprus,CYP,1870,17
Trinidad and Tobago,TTO,1870,17
Uruguay,URY,1870,17.7
Colombia,COL,1870,17.8
Malta,MLT,1870,19
Costa Rica,CRI,1870,19.5
Argentina,ARG,1870,20.9
Belize,BLZ,1870,21.9
South Africa,ZAF,1870,23.6
Mexico,MEX,1870,25.6
Portugal,PRT,1870,26.5
Iceland,ISL,1870,29.7
Greece,GRC,1870,30.1
Ireland,IRL,1870,32.5
Jamaica,JAM,1870,32.9
Bulgaria,BGR,1870,34.2
Poland,POL,1870,38.5
Hungary,HUN,1870,39
United Kingdom,GBR,1870,39
Japan,JPN,1870,41.4
Barbados,BRB,1870,42.8
Guyana,GUY,1870,43.2
Austria,AUT,1870,46.8
Germany,DEU,1870,49.6
Italy,ITA,1870,49.7
Spain,ESP,1870,52.5
Belgium,BEL,1870,72
Czech Republic,CZE,1870,72.6
Norway,NOR,1870,74.2
Australia,AUS,1870,76.5
New Zealand,NZL,1870,79.9
Netherlands,NLD,1870,80.1
Canada,CAN,1870,81.9
Switzerland,CHE,1870,87.4
Denmark,DNK,1870,95
France,FRA,1870,100
Sweden,SWE,1870,100
United States,USA,1870,100
Afghanistan,AFG,1875,0
Cambodia,KHM,1875,0
Democratic Republic of Congo,COD,1875,0
Haiti,HTI,1875,0
Kuwait,KWT,1875,0
Mali,MLI,1875,0
Nepal,NPL,1875,0
Niger,NER,1875,0
South Korea,KOR,1875,0
Swaziland,SWZ,1875,0
Taiwan,TWN,1875,0
Uganda,UGA,1875,0
Zambia,ZMB,1875,0
Zimbabwe,ZWE,1875,0
China,CHN,1875,0.1
Iran,IRN,1875,0.1
Libya,LBY,1875,0.1
Malawi,MWI,1875,0.1
Morocco,MAR,1875,0.1
Yemen,YEM,1875,0.1
Benin,BEN,1875,0.2
Iraq,IRQ,1875,0.2
Mozambique,MOZ,1875,0.2
Pakistan,PAK,1875,0.2
Senegal,SEN,1875,0.2
Sudan,SDN,1875,0.2
Tunisia,TUN,1875,0.2
Cote d'Ivoire,CIV,1875,0.3
Fiji,FJI,1875,0.3
Kenya,KEN,1875,0.4
Indonesia,IDN,1875,0.5
Jordan,JOR,1875,0.5
Thailand,THA,1875,0.5
Cameroon,CMR,1875,0.6
Togo,TGO,1875,0.6
Bangladesh,BGD,1875,0.8
Ghana,GHA,1875,0.8
Syria,SYR,1875,0.8
Turkey,TUR,1875,0.8
Sierra Leone,SLE,1875,1
Egypt,EGY,1875,1.5
Venezuela,VEN,1875,1.5
Malaysia,MYS,1875,1.6
Albania,ALB,1875,2.3
Liberia,LBR,1875,2.6
Luxembourg,LUX,1875,2.9
India,IND,1875,3
Peru,PER,1875,3.4
Lesotho,LSO,1875,4
Bolivia,BOL,1875,4.2
Gambia,GMB,1875,4.3
Hong Kong,HKG,1875,4.8
Philippines,PHL,1875,4.8
Paraguay,PRY,1875,5.4
Serbia,SRB,1875,6.2
Panama,PAN,1875,6.6
Dominican Republic,DOM,1875,7.5
Algeria,DZA,1875,7.6
Romania,ROU,1875,8.9
Brazil,BRA,1875,9.3
Cuba,CUB,1875,10.5
Finland,FIN,1875,10.5
Russia,RUS,1875,11
Nicaragua,NIC,1875,11.8
Sri Lanka,LKA,1875,11.9
Myanmar,MMR,1875,12.5
Guatemala,GTM,1875,13.1
Ecuador,ECU,1875,14.7
El Salvador,SLV,1875,14.7
Honduras,HND,1875,16
Mauritius,MUS,1875,16.5
Chile,CHL,1875,17.1
Argentina,ARG,1875,18.6
Colombia,COL,1875,20
Cyprus,CYP,1875,20.1
Reunion,REU,1875,20.1
Uruguay,URY,1875,21.2
Malta,MLT,1875,22.4
Costa Rica,CRI,1875,23.6
Belize,BLZ,1875,26.6
Mexico,MEX,1875,27.1
South Africa,ZAF,1875,29.3
Trinidad and Tobago,TTO,1875,31.5
Iceland,ISL,1875,32.2
Portugal,PRT,1875,32.5
Greece,GRC,1875,33.4
Barbados,BRB,1875,35.6
Ireland,IRL,1875,35.6
Bulgaria,BGR,1875,36.1
Poland,POL,1875,41.1
Guyana,GUY,1875,44.4
Jamaica,JAM,1875,46.7
United Kingdom,GBR,1875,49.8
Hungary,HUN,1875,49.9
Germany,DEU,1875,52.9
Austria,AUT,1875,54.2
Spain,ESP,1875,56.2
Italy,ITA,1875,57
Japan,JPN,1875,59.4
Czech Republic,CZE,1875,74.4
Belgium,BEL,1875,76.3
Norway,NOR,1875,76.3
Netherlands,NLD,1875,81.4
New Zealand,NZL,1875,81.6
Canada,CAN,1875,84.6
Australia,AUS,1875,88.2
Switzerland,CHE,1875,90
Denmark,DNK,1875,97.5
France,FRA,1875,100
Sweden,SWE,1875,100
United States,USA,1875,100
Afghanistan,AFG,1880,0
Cambodia,KHM,1880,0
Democratic Republic of Congo,COD,1880,0
Haiti,HTI,1880,0
Kuwait,KWT,1880,0
Mali,MLI,1880,0
Nepal,NPL,1880,0
Niger,NER,1880,0
South Korea,KOR,1880,0
Swaziland,SWZ,1880,0
Uganda,UGA,1880,0
Zambia,ZMB,1880,0
Zimbabwe,ZWE,1880,0
Iran,IRN,1880,0.1
Morocco,MAR,1880,0.1
Yemen,YEM,1880,0.1
Benin,BEN,1880,0.2
China,CHN,1880,0.2
Libya,LBY,1880,0.2
Taiwan,TWN,1880,0.2
Cote d'Ivoire,CIV,1880,0.3
Iraq,IRQ,1880,0.3
Malawi,MWI,1880,0.3
Mozambique,MOZ,1880,0.3
Pakistan,PAK,1880,0.3
Senegal,SEN,1880,0.3
Sudan,SDN,1880,0.3
Tunisia,TUN,1880,0.3
Kenya,KEN,1880,0.5
Fiji,FJI,1880,0.6
Cameroon,CMR,1880,0.7
Indonesia,IDN,1880,0.7
Jordan,JOR,1880,0.7
Togo,TGO,1880,0.8
Thailand,THA,1880,0.9
Bangladesh,BGD,1880,1.1
Ghana,GHA,1880,1.1
Syria,SYR,1880,1.1
Turkey,TUR,1880,1.1
Sierra Leone,SLE,1880,1.3
Venezuela,VEN,1880,1.9
Egypt,EGY,1880,2
Malaysia,MYS,1880,2.1
Albania,ALB,1880,2.9
Liberia,LBR,1880,3.3
Luxembourg,LUX,1880,3.7
India,IND,1880,4.5
Peru,PER,1880,4.9
Bolivia,BOL,1880,5.2
Gambia,GMB,1880,5.5
Lesotho,LSO,1880,5.8
Philippines,PHL,1880,6.3
Paraguay,PRY,1880,6.7
Algeria,DZA,1880,8
Hong Kong,HKG,1880,8.3
Panama,PAN,1880,8.3
Dominican Republic,DOM,1880,8.5
Serbia,SRB,1880,8.9
Brazil,BRA,1880,9.9
Romania,ROU,1880,10.2
Russia,RUS,1880,11.8
Cuba,CUB,1880,13.1
Nicaragua,NIC,1880,14.4
Guatemala,GTM,1880,15.7
Finland,FIN,1880,16
Argentina,ARG,1880,16.3
Sri Lanka,LKA,1880,16.4
Chile,CHL,1880,17.3
Colombia,COL,1880,17.4
Myanmar,MMR,1880,17.5
El Salvador,SLV,1880,17.7
Ecuador,ECU,1880,18.1
Honduras,HND,1880,19.3
Mauritius,MUS,1880,20.9
Cyprus,CYP,1880,23.8
Reunion,REU,1880,24.6
Malta,MLT,1880,26.3
Uruguay,URY,1880,26.7
Costa Rica,CRI,1880,28.3
Mexico,MEX,1880,28.5
Belize,BLZ,1880,32.1
Trinidad and Tobago,TTO,1880,34.1
Iceland,ISL,1880,34.8
South Africa,ZAF,1880,34.9
Belgium,BEL,1880,36.3
Greece,GRC,1880,36.7
Bulgaria,BGR,1880,38
Barbados,BRB,1880,38.1
Portugal,PRT,1880,38.4
Ireland,IRL,1880,43.1
Poland,POL,1880,43.7
Hungary,HUN,1880,51.3
Guyana,GUY,1880,53.2
Germany,DEU,1880,53.9
Spain,ESP,1880,60
Italy,ITA,1880,60.4
Jamaica,JAM,1880,60.5
Austria,AUT,1880,61.7
Japan,JPN,1880,70.8
Czech Republic,CZE,1880,76.2
United Kingdom,GBR,1880,77.2
Norway,NOR,1880,78.3
Netherlands,NLD,1880,80.2
Canada,CAN,1880,83.6
Switzerland,CHE,1880,92.6
New Zealand,NZL,1880,99.7
Australia,AUS,1880,100
Denmark,DNK,1880,100
France,FRA,1880,100
Sweden,SWE,1880,100
United States,USA,1880,100
Afghanistan,AFG,1885,0
Cambodia,KHM,1885,0
Democratic Republic of Congo,COD,1885,0
Haiti,HTI,1885,0
Kuwait,KWT,1885,0
Mali,MLI,1885,0
Nepal,NPL,1885,0
Niger,NER,1885,0
Swaziland,SWZ,1885,0
Uganda,UGA,1885,0
Zambia,ZMB,1885,0
Zimbabwe,ZWE,1885,0
Iran,IRN,1885,0.1
South Korea,KOR,1885,0.1
Yemen,YEM,1885,0.1
Libya,LBY,1885,0.2
Morocco,MAR,1885,0.2
Benin,BEN,1885,0.3
Senegal,SEN,1885,0.3
China,CHN,1885,0.4
Cote d'Ivoire,CIV,1885,0.4
Iraq,IRQ,1885,0.4
Malawi,MWI,1885,0.4
Mozambique,MOZ,1885,0.4
Pakistan,PAK,1885,0.4
Sudan,SDN,1885,0.4
Tunisia,TUN,1885,0.4
Taiwan,TWN,1885,0.5
Kenya,KEN,1885,0.7
Jordan,JOR,1885,0.9
Fiji,FJI,1885,1
Togo,TGO,1885,1.1
Bangladesh,BGD,1885,1.4
Ghana,GHA,1885,1.4
Thailand,THA,1885,1.4
Indonesia,IDN,1885,1.5
Turkey,TUR,1885,1.5
Syria,SYR,1885,1.6
Sierra Leone,SLE,1885,1.7
Cameroon,CMR,1885,2.5
Venezuela,VEN,1885,2.5
Egypt,EGY,1885,2.6
Malaysia,MYS,1885,2.9
Albania,ALB,1885,3.8
Liberia,LBR,1885,4.2
Luxembourg,LUX,1885,4.7
India,IND,1885,5.5
Bolivia,BOL,1885,6.4
Gambia,GMB,1885,6.9
Peru,PER,1885,7
Dominican Republic,DOM,1885,8.3
Philippines,PHL,1885,8.3
Lesotho,LSO,1885,8.4
Paraguay,PRY,1885,8.5
Algeria,DZA,1885,9.5
Brazil,BRA,1885,9.8
Panama,PAN,1885,10.4
Serbia,SRB,1885,11.7
Romania,ROU,1885,12.5
Hong Kong,HKG,1885,13.6
Colombia,COL,1885,15.1
Chile,CHL,1885,15.7
Russia,RUS,1885,15.8
Myanmar,MMR,1885,16.7
Nicaragua,NIC,1885,17.6
Guatemala,GTM,1885,18.6
Finland,FIN,1885,19.9
Cuba,CUB,1885,20.2
Sri Lanka,LKA,1885,20.7
El Salvador,SLV,1885,21.2
Ecuador,ECU,1885,22
Honduras,HND,1885,23.2
South Africa,ZAF,1885,24.1
Mauritius,MUS,1885,25.1
Argentina,ARG,1885,25.3
Uruguay,URY,1885,26.3
Reunion,REU,1885,29.8
Mexico,MEX,1885,30
Malta,MLT,1885,30.6
Costa Rica,CRI,1885,33.5
Barbados,BRB,1885,34.4
Cyprus,CYP,1885,34.4
Greece,GRC,1885,34.5
Trinidad and Tobago,TTO,1885,36.1
Iceland,ISL,1885,37.5
Belize,BLZ,1885,38
Bulgaria,BGR,1885,39.9
Guyana,GUY,1885,44.1
Portugal,PRT,1885,44.4
Poland,POL,1885,46.3
Ireland,IRL,1885,50.6
Hungary,HUN,1885,57.7
Germany,DEU,1885,59.2
Belgium,BEL,1885,59.4
Spain,ESP,1885,59.4
Italy,ITA,1885,62.4
Austria,AUT,1885,67.8
Jamaica,JAM,1885,69.6
United Kingdom,GBR,1885,77.1
Czech Republic,CZE,1885,77.9
Norway,NOR,1885,80.2
Netherlands,NLD,1885,81.8
Canada,CAN,1885,87.3
Japan,JPN,1885,93.2
Switzerland,CHE,1885,96.4
Australia,AUS,1885,98.4
Denmark,DNK,1885,100
France,FRA,1885,100
New Zealand,NZL,1885,100
Sweden,SWE,1885,100
United States,USA,1885,100
Afghanistan,AFG,1890,0
Democratic Republic of Congo,COD,1890,0
Haiti,HTI,1890,0
Kuwait,KWT,1890,0
Mali,MLI,1890,0
Nepal,NPL,1890,0
Niger,NER,1890,0
Swaziland,SWZ,1890,0
Uganda,UGA,1890,0
Zambia,ZMB,1890,0
Zimbabwe,ZWE,1890,0
Cambodia,KHM,1890,0.1
Yemen,YEM,1890,0.1
Iran,IRN,1890,0.2
Morocco,MAR,1890,0.2
South Korea,KOR,1890,0.2
Libya,LBY,1890,0.3
Benin,BEN,1890,0.4
Senegal,SEN,1890,0.4
Mozambique,MOZ,1890,0.5
Pakistan,PAK,1890,0.5
Sudan,SDN,1890,0.5
China,CHN,1890,0.6
Cote d'Ivoire,CIV,1890,0.6
Iraq,IRQ,1890,0.6
Tunisia,TUN,1890,0.6
Malawi,MWI,1890,0.7
Kenya,KEN,1890,0.9
Taiwan,TWN,1890,1.2
Jordan,JOR,1890,1.3
Togo,TGO,1890,1.5
Indonesia,IDN,1890,1.7
Fiji,FJI,1890,1.8
Bangladesh,BGD,1890,1.9
Ghana,GHA,1890,1.9
Turkey,TUR,1890,2
Sierra Leone,SLE,1890,2.2
Syria,SYR,1890,2.2
Thailand,THA,1890,2.3
Venezuela,VEN,1890,3.2
Egypt,EGY,1890,3.5
Malaysia,MYS,1890,4
Cameroon,CMR,1890,4.2
Albania,ALB,1890,4.8
Liberia,LBR,1890,5.2
Luxembourg,LUX,1890,6
India,IND,1890,6.1
Bolivia,BOL,1890,7.7
Gambia,GMB,1890,8.6
Dominican Republic,DOM,1890,9.1
Brazil,BRA,1890,9.6
Peru,PER,1890,9.9
Algeria,DZA,1890,10.8
Philippines,PHL,1890,10.8
Lesotho,LSO,1890,11.8
Panama,PAN,1890,13
South Africa,ZAF,1890,13.4
Serbia,SRB,1890,14.4
Paraguay,PRY,1890,15.7
Myanmar,MMR,1890,15.9
Romania,ROU,1890,17.2
Colombia,COL,1890,17.4
Nicaragua,NIC,1890,18.1
Russia,RUS,1890,19.6
Hong Kong,HKG,1890,20.9
El Salvador,SLV,1890,21.3
Sri Lanka,LKA,1890,25
Finland,FIN,1890,25.4
Honduras,HND,1890,25.7
Ecuador,ECU,1890,26.6
Chile,CHL,1890,27.2
Cuba,CUB,1890,27.2
Uruguay,URY,1890,27.9
Mauritius,MUS,1890,29.4
Guatemala,GTM,1890,30.4
Argentina,ARG,1890,31.5
Mexico,MEX,1890,31.7
Malta,MLT,1890,35.3
Reunion,REU,1890,35.5
Costa Rica,CRI,1890,39.1
Greece,GRC,1890,39.5
Iceland,ISL,1890,40.3
Portugal,PRT,1890,41.8
Bulgaria,BGR,1890,41.9
Barbados,BRB,1890,43
Belize,BLZ,1890,44.3
Cyprus,CYP,1890,45.1
Poland,POL,1890,49
Ireland,IRL,1890,54.2
Spain,ESP,1890,55.9
Germany,DEU,1890,58.4
Trinidad and Tobago,TTO,1890,59.3
Belgium,BEL,1890,60.2
Italy,ITA,1890,64
Guyana,GUY,1890,64.1
Hungary,HUN,1890,64.2
Austria,AUT,1890,74
Jamaica,JAM,1890,78.7
Czech Republic,CZE,1890,79.5
Netherlands,NLD,1890,83.1
Japan,JPN,1890,86.8
Canada,CAN,1890,90.5
Norway,NOR,1890,91.5
Switzerland,CHE,1890,92.9
United Kingdom,GBR,1890,93.1
Australia,AUS,1890,96.8
New Zealand,NZL,1890,98.4
Denmark,DNK,1890,100
France,FRA,1890,100
Sweden,SWE,1890,100
United States,USA,1890,100
Afghanistan,AFG,1895,0
Haiti,HTI,1895,0
Kuwait,KWT,1895,0
Nepal,NPL,1895,0
Niger,NER,1895,0
Swaziland,SWZ,1895,0
Uganda,UGA,1895,0
Zambia,ZMB,1895,0
Cambodia,KHM,1895,0.1
Democratic Republic of Congo,COD,1895,0.1
Mali,MLI,1895,0.1
Yemen,YEM,1895,0.2
Iran,IRN,1895,0.3
Morocco,MAR,1895,0.3
South Korea,KOR,1895,0.4
Benin,BEN,1895,0.5
Libya,LBY,1895,0.5
Senegal,SEN,1895,0.6
Cote d'Ivoire,CIV,1895,0.7
Mozambique,MOZ,1895,0.7
Pakistan,PAK,1895,0.7
Sudan,SDN,1895,0.7
Iraq,IRQ,1895,0.8
Tunisia,TUN,1895,0.8
Zimbabwe,ZWE,1895,0.8
China,CHN,1895,0.9
Kenya,KEN,1895,1.2
Malawi,MWI,1895,1.2
Jordan,JOR,1895,1.8
Indonesia,IDN,1895,1.9
Togo,TGO,1895,2
Ghana,GHA,1895,2.4
Taiwan,TWN,1895,2.4
Bangladesh,BGD,1895,2.5
Cameroon,CMR,1895,2.6
Sierra Leone,SLE,1895,2.8
Turkey,TUR,1895,2.8
Fiji,FJI,1895,3
Syria,SYR,1895,3
Thailand,THA,1895,3.6
Venezuela,VEN,1895,4
Egypt,EGY,1895,4.7
Malaysia,MYS,1895,5.4
Luxembourg,LUX,1895,5.9
Albania,ALB,1895,6.1
India,IND,1895,6.8
Liberia,LBR,1895,7.8
Bolivia,BOL,1895,9.3
Gambia,GMB,1895,10.7
Dominican Republic,DOM,1895,10.8
Brazil,BRA,1895,11.7
Algeria,DZA,1895,11.9
South Africa,ZAF,1895,13.8
Philippines,PHL,1895,14
Lesotho,LSO,1895,14.2
Peru,PER,1895,15.4
Panama,PAN,1895,16
Serbia,SRB,1895,16.8
Hong Kong,HKG,1895,18.2
Paraguay,PRY,1895,18.6
Myanmar,MMR,1895,18.7
Nicaragua,NIC,1895,18.7
Colombia,COL,1895,19.5
El Salvador,SLV,1895,21.6
Romania,ROU,1895,22.7
Argentina,ARG,1895,24.3
Ecuador,ECU,1895,26.5
Sri Lanka,LKA,1895,27.8
Honduras,HND,1895,28.6
Mauritius,MUS,1895,29.4
Uruguay,URY,1895,30.9
Chile,CHL,1895,31.1
Guatemala,GTM,1895,32.9
Mexico,MEX,1895,33.4
Cuba,CUB,1895,36.4
Finland,FIN,1895,36.7
Russia,RUS,1895,38.1
Portugal,PRT,1895,39.3
Reunion,REU,1895,41.7
Greece,GRC,1895,41.8
Barbados,BRB,1895,42.4
Iceland,ISL,1895,43.1
Costa Rica,CRI,1895,45
Belize,BLZ,1895,47.1
Malta,MLT,1895,48.2
Poland,POL,1895,51.7
Cyprus,CYP,1895,52.3
Spain,ESP,1895,52.3
Germany,DEU,1895,57.5
Trinidad and Tobago,TTO,1895,58
Bulgaria,BGR,1895,60.6
Ireland,IRL,1895,61.7
Guyana,GUY,1895,64.4
Hungary,HUN,1895,65.1
Italy,ITA,1895,65.7
Belgium,BEL,1895,68.4
Austria,AUT,1895,76.1
Jamaica,JAM,1895,79.5
Czech Republic,CZE,1895,81
Netherlands,NLD,1895,83.4
Switzerland,CHE,1895,90.9
Canada,CAN,1895,92.4
New Zealand,NZL,1895,94.7
United Kingdom,GBR,1895,95.6
Norway,NOR,1895,97.8
Australia,AUS,1895,98.4
Denmark,DNK,1895,100
France,FRA,1895,100
Japan,JPN,1895,100
Sweden,SWE,1895,100
United States,USA,1895,100
Afghanistan,AFG,1900,0
Haiti,HTI,1900,0
Kuwait,KWT,1900,0
Nepal,NPL,1900,0
Swaziland,SWZ,1900,0
Uganda,UGA,1900,0
Zambia,ZMB,1900,0
Mali,MLI,1900,0.1
Niger,NER,1900,0.1
Cambodia,KHM,1900,0.2
Democratic Republic of Congo,COD,1900,0.3
Yemen,YEM,1900,0.3
Iran,IRN,1900,0.4
Morocco,MAR,1900,0.4
Libya,LBY,1900,0.6
Benin,BEN,1900,0.7
Senegal,SEN,1900,0.7
South Korea,KOR,1900,0.7
Mozambique,MOZ,1900,0.9
Pakistan,PAK,1900,0.9
Sudan,SDN,1900,0.9
Cameroon,CMR,1900,1
Cote d'Ivoire,CIV,1900,1
Iraq,IRQ,1900,1.1
Tunisia,TUN,1900,1.1
China,CHN,1900,1.4
Kenya,KEN,1900,1.7
Malawi,MWI,1900,1.9
Indonesia,IDN,1900,2.2
Jordan,JOR,1900,2.4
Zimbabwe,ZWE,1900,2.4
Togo,TGO,1900,2.6
Bangladesh,BGD,1900,3.2
Ghana,GHA,1900,3.2
Sierra Leone,SLE,1900,3.7
Turkey,TUR,1900,3.7
Syria,SYR,1900,4.1
Taiwan,TWN,1900,4.6
Fiji,FJI,1900,4.9
Thailand,THA,1900,5.6
Egypt,EGY,1900,6.2
Venezuela,VEN,1900,6.8
India,IND,1900,7
Malaysia,MYS,1900,7.4
Albania,ALB,1900,7.7
Luxembourg,LUX,1900,8.7
Bolivia,BOL,1900,12.4
Dominican Republic,DOM,1900,12.5
Algeria,DZA,1900,12.7
Liberia,LBR,1900,12.8
Gambia,GMB,1900,13.3
Brazil,BRA,1900,13.7
South Africa,ZAF,1900,14.2
Hong Kong,HKG,1900,15.4
Peru,PER,1900,15.7
Lesotho,LSO,1900,16.6
Philippines,PHL,1900,17.9
Nicaragua,NIC,1900,19.2
Serbia,SRB,1900,19.2
Panama,PAN,1900,19.6
Paraguay,PRY,1900,19.8
El Salvador,SLV,1900,20.5
Guatemala,GTM,1900,21.1
Myanmar,MMR,1900,21.5
Colombia,COL,1900,21.7
Ecuador,ECU,1900,26.5
Uruguay,URY,1900,27.9
Mauritius,MUS,1900,29.4
Honduras,HND,1900,30.3
Sri Lanka,LKA,1900,30.5
Chile,CHL,1900,34.1
Costa Rica,CRI,1900,34.8
Mexico,MEX,1900,35.1
Russia,RUS,1900,36.6
Portugal,PRT,1900,36.7
Argentina,ARG,1900,39.6
Cuba,CUB,1900,45.5
Greece,GRC,1900,45.7
Iceland,ISL,1900,46
Finland,FIN,1900,46.6
Reunion,REU,1900,48.3
Spain,ESP,1900,48.7
Belize,BLZ,1900,49.9
Bulgaria,BGR,1900,54
Poland,POL,1900,54.4
Romania,ROU,1900,55.6
Germany,DEU,1900,56.1
Cyprus,CYP,1900,59.4
Ireland,IRL,1900,60.3
Malta,MLT,1900,61
Guyana,GUY,1900,62.4
Hungary,HUN,1900,64.8
Italy,ITA,1900,68.3
Trinidad and Tobago,TTO,1900,68.9
Barbados,BRB,1900,71.6
Belgium,BEL,1900,74.2
Austria,AUT,1900,78.3
Jamaica,JAM,1900,80.3
Czech Republic,CZE,1900,82.4
Netherlands,NLD,1900,83.5
Japan,JPN,1900,86.2
Switzerland,CHE,1900,89
New Zealand,NZL,1900,95.7
Canada,CAN,1900,95.8
Norway,NOR,1900,96
United Kingdom,GBR,1900,97.8
Australia,AUS,1900,100
Denmark,DNK,1900,100
France,FRA,1900,100
Sweden,SWE,1900,100
United States,USA,1900,100
Afghanistan,AFG,1905,0
Kuwait,KWT,1905,0
Nepal,NPL,1905,0
Uganda,UGA,1905,0
Zambia,ZMB,1905,0
Mali,MLI,1905,0.1
Niger,NER,1905,0.1
Cambodia,KHM,1905,0.2
Swaziland,SWZ,1905,0.2
Haiti,HTI,1905,0.3
Yemen,YEM,1905,0.3
Democratic Republic of Congo,COD,1905,0.5
Iran,IRN,1905,0.5
Morocco,MAR,1905,0.5
Libya,LBY,1905,0.9
Senegal,SEN,1905,0.9
Benin,BEN,1905,1
Pakistan,PAK,1905,1.1
Sudan,SDN,1905,1.1
Cote d'Ivoire,CIV,1905,1.2
Mozambique,MOZ,1905,1.2
South Korea,KOR,1905,1.4
Iraq,IRQ,1905,1.5
Tunisia,TUN,1905,1.5
Cameroon,CMR,1905,2
China,CHN,1905,2.2
Kenya,KEN,1905,2.3
Malawi,MWI,1905,2.9
Indonesia,IDN,1905,3.1
